STATE,Agr_Allied,Agri_Only,Industry,Mining,Manu,Services
Andaman and Nicobar,386,261,888,8,32,3036
Andhra Pradesh,87325,68450,106801,10301,55705,261810
Arunachal Pradesh,1713,1026,2038,114,133,2420
Assam,18829,15733,18829,4541,6590,50880
Bihar,35134,30890,40865,91,11569,102598
Chandigarh,-,-,-,-,-,-
Chhattisgarh,17658,13307,36028,8477,12379,38519
Delhi,1506,1424,21733,-,11003,212918
Goa,-,-,-,-,-,-
Gujarat,-,-,-,-,-,-
Haryana,30320,28683,54229,65,35939,116527
Himachal Pradesh,8802,6595,17970,150,7820,20484
Jammu and Kashmir,9062,7567,10669,503,3136,25669
Jharkhand,17817,14626,45443,12679,22863,51132
Karnataka,41151,33675,85221,1240,49600,185256
Kerala,-,-,-,-,-,-
Madhya Pradesh,69250,64880,61029,7748,23978,108248
Maharashtra,-,-,-,-,-,-
Manipur,-,-,-,-,-,-
Meghalaya,2126,1655,3736,667,835,7354
Mizoram,-,-,-,-,-,-
Nagaland,-,-,-,-,-,-
Odisha,23099,18889,52214,8669,24075,72914
Puducherry,599,411,5893,-,4484,8989
Punjab,36008,33986,49592,13,33733,87449
Rajasthan,49658,44123,69933,13324,28082,125406
Sikkim,-,-,-,-,-,-
Tamil Nadu,35394,30517,145230,2218,90440,298352
Tripura,-,-,-,-,-,-
Uttar Pradesh,102954,93294,100687,4199,56286,264630
Uttarakhand,7000,5082,28097,37887,489,19373
West Bengal,62420,49413,72362,3370,37693,243905
India,800548,681412,1500225,106838,857705,3441017
